Name,Entryway,Year,Capacity,Single Bedrooms,Double Bedrooms,Residential College
H14,H,2,Single,1,0,Pauli Murray
H41,H,2,Single,1,0,Pauli Murray
H43,H,2,Single,1,0,Pauli Murray
H44,H,2,Single,1,0,Pauli Murray
J53,J,2,Single,1,0,Pauli Murray
C43,C,2,Double,0,1,Pauli Murray
F71,F,2,Double,0,1,Pauli Murray
F81,F,2,Double,0,1,Pauli Murray
C53,C,2,Triple,1,1,Pauli Murray
D52,D,2,Triple,1,1,Pauli Murray
G21,G,2,Triple,1,1,Pauli Murray
D15,D,2,Quad,1,2,Pauli Murray
E27,E,2,Quad,0,2,Pauli Murray
F51,F,2,Quad,0,2,Pauli Murray
J34,J,2,Quad,0,2,Pauli Murray
J44,J,2,Quad,0,2,Pauli Murray
J56,J,2,Quad,0,2,Pauli Murray
C54,C,2,Quint,3,1,Pauli Murray
E12,E,2,Quint,1,2,Pauli Murray
E22,E,2,Quint,1,2,Pauli Murray
E31,E,2,Quint,1,2,Pauli Murray
E41,E,2,Quint,1,2,Pauli Murray
F11,F,2,Quint,1,2,Pauli Murray
F22,F,2,Quint,1,2,Pauli Murray
F32,F,2,Quint,1,2,Pauli Murray
F35,F,2,Quint,1,2,Pauli Murray
F42,F,2,Quint,1,2,Pauli Murray
A Lower,A,2,Sextet,0,3,Pauli Murray
H13,H,2,Sextet,2,2,Pauli Murray
F45,F,2,Sextet,0,3,Pauli Murray
B Lower,B,2,Septet,0,3,Pauli Murray
C52,C,3,Single,1,0,Pauli Murray
D16,D,3,Single,1,0,Pauli Murray
D17,D,3,Single,1,0,Pauli Murray
D26,D,3,Single,1,0,Pauli Murray
E15,E,3,Single,1,0,Pauli Murray
E23,E,3,Single,1,0,Pauli Murray
E25,E,3,Single,1,0,Pauli Murray
E32,E,3,Single,1,0,Pauli Murray
F12,F,3,Single,1,0,Pauli Murray
GI5,G,3,Single,1,0,Pauli Murray
G16,G,3,Single,1,0,Pauli Murray
G17,G,3,Single,1,0,Pauli Murray
G22,G,3,Single,1,0,Pauli Murray
H23,H,3,Single,1,0,Pauli Murray
H24,H,3,Single,1,0,Pauli Murray
H25,H,3,Single,1,0,Pauli Murray
H31,H,3,Single,1,0,Pauli Murray
H33,H,3,Single,1,0,Pauli Murray
H34,H,3,Single,1,0,Pauli Murray
H35,H,3,Single,1,0,Pauli Murray
H45,H,3,Single,1,0,Pauli Murray
J33,J,3,Single,1,0,Pauli Murray
J35,J,3,Single,1,0,Pauli Murray
J36,J,3,Single,1,0,Pauli Murray
J37,J,3,Single,1,0,Pauli Murray
J43,J,3,Single,1,0,Pauli Murray
J55,J,3,Single,1,0,Pauli Murray
J57,J,3,Single,1,0,Pauli Murray
J58,J,3,Single,1,0,Pauli Murray
D14,D,3,Double,2,0,Pauli Murray
D23,D,3,Double,2,0,Pauli Murray
D24,D,3,Double,2,0,Pauli Murray
D27,D,3,Double,2,0,Pauli Murray
D28,D,3,Double,2,0,Pauli Murray
E14,E,3,Double,2,0,Pauli Murray
E24,E,3,Double,2,0,Pauli Murray
F24,F,3,Double,2,0,Pauli Murray
F34,F,3,Double,2,0,Pauli Murray
F44,F,3,Double,2,0,Pauli Murray
G12,G,3,Double,2,0,Pauli Murray
G13,G,3,Double,2,0,Pauli Murray
G14,G,3,Double,2,0,Pauli Murray
G18,G,3,Double,2,0,Pauli Murray
H22,H,3,Double,2,0,Pauli Murray
H36,H,3,Double,2,0,Pauli Murray
H46,H,3,Double,2,0,Pauli Murray
C15,C,3,Triple,3,0,Pauli Murray
E13,E,3,Triple,3,0,Pauli Murray
E26,E,3,Triple,3,0,Pauli Murray
H12,H,3,Triple,3,0,Pauli Murray
C36,C,3,Quad,4,0,Pauli Murray
C45,C,3,Quad,4,0,Pauli Murray
C55,C,3,Quad,4,0,Pauli Murray
D12,D,3,Quad,4,0,Pauli Murray
D51,D,3,Quad,4,0,Pauli Murray
D53,D,3,Quad,4,0,Pauli Murray
D54,D,3,Quad,4,0,Pauli Murray
E33,E,3,Quad,4,0,Pauli Murray
E34,E,3,Quad,4,0,Pauli Murray
E42,E,3,Quad,4,0,Pauli Murray
F14,F,3,Quad,4,0,Pauli Murray
F23,F,3,Quad,4,0,Pauli Murray
F33,F,3,Quad,4,0,Pauli Murray
F43,F,3,Quad,4,0,Pauli Murray
H26,H,3,Quad,4,0,Pauli Murray
H32,H,3,Quad,4,0,Pauli Murray
H42,H,3,Quad,4,0,Pauli Murray
J31,J,3,Quad,4,0,Pauli Murray
C37,C,3,Quint,5,0,Pauli Murray
F25,F,3,Quint,5,0,Pauli Murray
J42,J,3,Quint,5,0,Pauli Murray
J52,J,3,Quint,5,0,Pauli Murray
E50/60,E,3,Septet,7,0,Pauli Murray
C42,C,3,Octet,8,0,Pauli Murray